
   Трасса полёта КА

__НУ КА-314_________________________________________________
 Номер-15 Тип-8 Мод-0 БЦ-1  Номер ЛШС-1
 Дата  20.06.2018   Время  07:44:33.3710   Виток 2112  
____________________________________________________________
             АСК-2000             ГСК            АСК-ИстЭ
 X,   км    1296.451272      -1184.470898       1268.907161
 Y,   км    6767.318954       6787.814426       6772.537974
 Z,   км      -2.067149         -0.000000         -0.000000
 Vx, м/с     980.475416       1468.439140        967.926016
 Vy, м/с    -195.112640        246.689516       -190.925326
 Vz, м/с    7541.740455       7543.468487       7543.468487
____________________________________________________________
             ОСК-2000          ОСК-ИстЭ
 a,   км    6893.775093       6893.775093
 e,            0.001331151       0.001331151
 i, град      97.550672         97.450832
 W, град      79.152666         79.388058
 w, град      68.368732         68.386071
 u, град     359.982661          0.000000
____________________________________________________________
Sбал  0.001442 (кг.м2)  Масса  950.0000 (кг)  
____________________________________________________________

______ЛШС - 1_______________________________________________
 Мод ГПЗ- 4 (04x04)
 Мод Атм- 0 Мод СвД- 0 Учт  ДУ- 0 
 Учт СОЛ- 0 Учт ЛУН- 0 Учт ПРЛ- 0
____________________________________________________________
____________________________________________________________________________________________
  Дата       Время         Долгота,        Широта,          Высота,        Уг. места Солнца,
                           град            град             км             град
____________________________________________________________________________________________
 20.06.2018 08:26:33,3710  272,15606369    20,28811972       511.755221   -045.55.44,8163
 20.06.2018 08:29:33,3710  269,82130670     8,93746285       511.661479   -056.42.55,1331
 20.06.2018 08:32:33,3710  267,58314394    -2,42275803       512.947179   -066.59.34,1454
 20.06.2018 08:35:33,3710  265,32057010   -13,77334831       515.606493   -075.37.40,9596
 20.06.2018 08:38:33,3710  262,90447313   -25,09523804       519.414564   -078.11.50,9499
 20.06.2018 08:41:33,3710  260,14941065   -36,36805674       523.957236   -071.54.40,1721
 20.06.2018 08:44:33,3710  256,71526732   -47,56495469       528.691193   -062.15.15,4484
 20.06.2018 08:47:33,3710  251,82214212   -58,63417516       533.023797   -051.42.11,4916
 20.06.2018 08:50:33,3710  243,11917854   -69,42073868       536.399393   -040.50.09,1215
 20.06.2018 08:53:33,3710  219,93752862   -79,13960151       538.378929   -029.49.42,9230
 20.06.2018 08:56:33,3710  147,64564673   -81,87701961       538.701931   -018.45.05,3712
 20.06.2018 08:59:33,3710  107,47615119   -73,64739753       537.322975   -007.38.20,1589
 20.06.2018 09:02:33,3710   95,26810750   -63,11092474       534.418332    003.29.17,5010
 20.06.2018 09:05:33,3710   89,27990766   -52,12581458       530.361899    014.36.46,9563
 20.06.2018 09:08:33,3710   85,38667908   -40,97155959       525.673114    025.42.59,9786
 20.06.2018 09:11:33,3710   82,40888379   -29,72508706       520.943140    036.46.13,6011
 20.06.2018 09:14:33,3710   79,88163414   -18,41979111       516.749167    047.43.13,7061
 20.06.2018 09:17:33,3710   77,57343418    -7,07771192       513.569516    058.26.33,2656
 20.06.2018 09:20:33,3710   75,33934452     4,28179299       511.713308    068.34.20,7650
 20.06.2018 09:23:33,3710   73,05976728    15,63962426       511.277028    076.39.28,0041
 20.06.2018 09:26:33,3710   70,59959969    26,97610591       512.135941    077.37.53,8706
 20.06.2018 09:29:33,3710   67,75512788    38,26923635       513.971925    070.23.43,7910
 20.06.2018 09:32:33,3710   64,13693818    49,48825295       516.332363    060.27.59,6351
 20.06.2018 09:35:33,3710   58,81071803    60,57013895       518.709218    049.47.36,2883
 20.06.2018 09:38:33,3710   48,76873615    71,31270772       520.624477    038.50.33,3136
 20.06.2018 09:41:33,3710   19,12387821    80,56167349       521.708138    027.45.54,0766
 20.06.2018 09:44:33,3710  303,24956532    80,78639842       521.757117    016.37.27,7405
 20.06.2018 09:47:33,3710  272,25379969    71,65282056       520.766952    005.27.14,5335
 20.06.2018 09:50:33,3710  261,93721919    60,93013449       518.932230   -005.43.26,3740
 20.06.2018 09:53:33,3710  256,52460152    49,85534897       516.615730   -016.53.26,5465
 20.06.2018 09:56:33,3710  252,87006382    38,64027410       514.290335   -028.01.26,2878
 20.06.2018 09:59:33,3710  250,00793154    27,34986191       512.461725   -039.05.24,0849
 20.06.2018 10:02:33,3710  247,53896652    16,01535229       511.583320   -050.01.27,7688
 20.06.2018 10:05:33,3710  245,25583107     4,65884332       511.977172   -060.40.25,2563
 20.06.2018 10:08:33,3710  243,02219061    -6,69999693       513.774544   -070.33.42,8632
 20.06.2018 10:11:33,3710  240,71859107   -18,04210256       516.887117   -077.41.53,5340
 20.06.2018 10:14:33,3710  238,20171711   -29,34818274       521.014317   -076.34.30,0710
 20.06.2018 10:17:33,3710  235,24455193   -40,59640099       525.685443   -068.27.22,6811
 20.06.2018 10:20:33,3710  231,39454532   -51,75406084       530.328805   -058.20.12,0771
 20.06.2018 10:23:33,3710  225,51343743   -62,74690396       534.355762   -047.37.56,8905
 20.06.2018 10:26:33,3710  213,67306006   -73,30952176       537.246009   -036.42.00,3571
 20.06.2018 10:29:33,3710  175,29855913   -81,71518331       538.621610   -025.39.39,3311
 20.06.2018 10:32:33,3710  102,02096436   -79,41169332       538.299948   -014.34.02,4877
 20.06.2018 10:35:33,3710   77,83009307   -69,77189273       536.319247   -003.26.49,6333
 20.06.2018 10:38:33,3710   68,90710105   -59,00043141       532.933691    007.40.52,3538
 20.06.2018 10:41:33,3710   63,93955879   -47,93631014       528.578587    018.48.02,4260
 20.06.2018 10:44:33,3710   60,47283291   -36,74166892       523.809436    029.53.23,2004
 20.06.2018 10:47:33,3710   57,70158910   -25,46986615       519.222408    040.54.46,8441
 20.06.2018 10:50:33,3710   55,27737206   -14,14820433       515.367197    051.47.53,7684
 20.06.2018 10:53:33,3710   53,01160018    -2,79719204       512.665662    062.21.54,4003
 20.06.2018 10:56:33,3710   50,77413992     8,56405139       511.350024    072.01.17,2754
 20.06.2018 10:59:33,3710   48,44428707    19,91630616       511.431823    078.13.40,8740
 20.06.2018 11:02:33,3710   45,86907612    31,23936076       512.707444    075.30.11,0667
 20.06.2018 11:05:33,3710   42,79503313    42,50913038       514.799027    066.48.01,9112
 20.06.2018 11:08:33,3710   38,69555656    53,68726459       517.222875    056.29.30,4800
 20.06.2018 11:11:33,3710   32,17717094    64,68118635       519.472784    045.41.08,2719
 20.06.2018 11:14:33,3710   18,03760040    75,13130119       521.104074    034.40.34,4846
 20.06.2018 11:17:33,3710  328,71397047    82,41773162       521.805180    023.34.11,1591
 20.06.2018 11:20:33,3710  262,78239703    77,76308364       521.446629    012.24.53,6579
 20.06.2018 11:23:33,3710  243,63563018    67,68119756       520.101001    001.14.21,8254
 20.06.2018 11:26:33,3710  235,86247097    56,77796758       518.031428   -009.56.11,8982
 20.06.2018 11:29:33,3710  231,29715003    45,63800354       515.650055   -021.05.37,4403
 20.06.2018 11:32:33,3710  228,00972584    34,38953103       513.451856   -032.12.23,9507
 20.06.2018 11:35:33,3710  225,32782437    23,07942242       511.933000   -043.14.00,0170
 20.06.2018 11:38:33,3710  222,94745843    11,73407263       511.506251   -054.05.12,1413
 20.06.2018 11:41:33,3710  220,69680088     0,37427789       512.427521   -064.32.23,0087
 20.06.2018 11:44:33,3710  218,45075977   -10,98061684       514.746754   -073.47.54,8260
 20.06.2018 11:47:33,3710  216,08588990   -22,31157095       518.292451   -078.29.44,5187
 20.06.2018 11:50:33,3710  213,43662378   -33,59877269       522.692798   -073.57.13,8479
 20.06.2018 11:53:33,3710  210,21584961   -44,81784946       527.429404   -064.45.08,2090
 20.06.2018 11:56:33,3710  205,80134354   -55,92646565       531.913734   -054.20.17,7962
 20.06.2018 11:59:33,3710  198,45626357   -66,81108986       535.573154   -043.31.32,2900
 20.06.2018 12:02:33,3710  181,14729454   -76,97629682       537.933151   -032.32.39,2432
 20.06.2018 12:05:33,3710  120,38679682   -82,56249348       538.684215   -021.28.49,3781
 20.06.2018 12:08:33,3710   65,52603783   -76,05820404       537.725004   -010.22.27,6189
 20.06.2018 12:11:33,3710   49,95764095   -65,76471410       535.176738    000.45.02,8495
 20.06.2018 12:14:33,3710   43,05159065   -54,84757397       531.367051    011.52.39,8917
 20.06.2018 12:17:33,3710   38,80048987   -43,72451439       526.784850    022.59.19,0995
 20.06.2018 12:20:33,3710   35,65459840   -32,49666265       522.011253    034.03.29,4039
 20.06.2018 12:23:33,3710   33,04273178   -21,20340461       517.635509    045.02.27,5293
 20.06.2018 12:26:33,3710   30,69549536    -9,86834506       514.168069    055.50.16,0907
 20.06.2018 12:29:33,3710   28,45393836     1,48885527       511.964902    066.10.34,1141
 20.06.2018 12:32:33,3710   26,19614527    12,84913233       511.176299    075.02.52,3966
 20.06.2018 12:35:33,3710   23,79465454    24,19303582       511.729639    078.21.26,5906
 20.06.2018 12:38:33,3710   21,06952226    35,49944304       513.349185    072.34.03,4764
 20.06.2018 12:41:33,3710   17,69516940    46,74085153       515.608837    063.00.16,3918
 20.06.2018 12:44:33,3710   12,93490929    57,86644914       518.007731    052.26.53,6862
 20.06.2018 12:47:33,3710    4,60745969    68,73092815       520.055150    041.32.45,4472
 20.06.2018 12:50:33,3710  343,04739411    78,62995462       521.350823    030.29.29,9654
 20.06.2018 12:53:33,3710  272,58081514    82,10818831       521.648655    019.21.44,9745
 20.06.2018 12:56:33,3710  229,19868614    74,15211552       520.895244    008.11.48,7578
 20.06.2018 12:59:33,3710  216,36001641    63,60860103       519.238215   -002.58.52,8424
 20.06.2018 13:02:33,3710  210,19926411    52,58871218       517.003245   -014.09.10,6803
 20.06.2018 13:05:33,3710  206,23948547    41,39920092       514.642493   -025.17.49,8427
 20.06.2018 13:08:33,3710  203,23087201    30,12327751       512.661220   -036.23.02,9453
 20.06.2018 13:11:33,3710  200,68826854    18,79692752       511.533240   -047.21.35,4205
 20.06.2018 13:14:33,3710  198,37299011     7,44356912       511.618695   -058.06.09,8928
 20.06.2018 13:17:33,3710  196,13749484    -3,91677530       513.098441   -068.15.43,7621
 20.06.2018 13:20:33,3710  193,86186839   -15,26494636       515.937094   -076.27.28,9440
