41744.793422997681773	6299372.76 	 	 -2009144.09 	 	      0 	 	  137.585341 	 	 671.989175 	 	 7678.79818
41744.794117442121205	6292209.31713847 	 -1963872.8920561 	 460344.583263403 	 -376.197538333265 	 837.2315400474 	 7659.63485343829
41744.794811886575189	6254275.24118821 	 -1908663.37721896 	 918389.390277533 	 -887.671269973458 	 1003.12083408709 	 7602.14349601162
41744.795506331014622	6185786.75618659 	 -1843503.11211506 	 1371838.04474355 	 -1394.24711568629 	 1168.77357568433 	 7506.47084236606
41744.796200775454054	6087115.07273685 	 -1768433.46593608 	 1818409.11635925 	 -1893.35085862592 	 1333.27997935951 	 7372.96573571293
41744.796895219893486	5958785.03814863 	 -1683551.04745414 	 2255848.18481017 	 -2382.43808370595 	 1495.70947139221 	 7202.17963125021
41744.79758966434747	5801472.88658879 	 -1589008.77754447 	 2681939.98495656 	 -2859.00941400401 	 1655.11647615373 	 6994.86564527111
41744.798284108786902	5616003.08507684 	 -1485016.61145999 	 3094520.43102267 	 -3320.62560916247 	 1810.54644270976 	 6751.97613686575
41744.798978553240886	5403344.28299309 	 -1371841.89367669 	 3491488.45417028 	 -3764.92239171554 	 1961.0420650886 	 6474.65883158851
41744.799672997680318	5164604.37649286 	 -1249809.33119199 	 3870817.58100651 	 -4189.6248639868 	 2105.64964243997 	 6164.25150215957
41744.800367442127026	4901024.72178198 	 -1119300.58165335 	 4230567.14981796 	 -4592.56134955797 	 2243.4255145012 	 5822.27526551355
41744.801061886573734	4613973.54838126 	 -980753.459609075 	 4568893.06883802 	 -4971.67651005903 	 2373.44250949497 	 5450.42658583451
41744.801756331013166	4304938.61217706 	 -834660.757601024 	 4884058.05992002 	 -5325.04364154527 	 2494.79635756162 	 5050.56806532525
41744.802450775452598	3975519.12571393 	 -681568.678913152 	 5174441.33005055 	 -5650.87606460557 	 2606.6120237522 	 4624.71810651728
41744.803145219899307	3627417.0326317 	 -522074.893349407 	 5438547.58945448 	 -5947.53750747592 	 2708.04990726312 	 4175.03957025993
41744.803839664346015	3262427.70479264 	 -356826.232568505 	 5675015.34979598 	 -6213.55140904819 	 2798.31186094005 	 3703.82756796641
41744.804534108785447	2882430.11616617 	 -186516.031071952 	 5882624.46921849 	 -6447.60911668154 	 2876.64699993652 	 3213.49649215358
41744.805228553232155	2489376.5433364 	 -11881.1188839201 	 6060302.90921371 	 -6648.57696097121 	 2942.35726920172 	 2706.56637877802
41744.805922997678863	2085281.87443363 	 166301.512201156 	 6207132.65345427 	 -6815.50218035148 	 2994.80273479767 	 2185.64872912976
41744.806617442118295	1672212.61362613 	 347218.343554543 	 6322354.75486202 	 -6947.61769145584 	 3033.40657102501 	 1653.43191763418
41744.807311886572279	1252275.634529 	 	 530023.253908124 	 6405373.49973349 	 -7044.34572914868 	 3057.65972374952 	 1112.66625955624
41744.808006331018987	827606.731345011 	 713841.720659973 	 6455759.67266992 	 -7105.30037471163 	 3067.1252268897 	 566.148798198678
41744.808700775465695	400359.050792232 	 897775.26926794 	 6473252.89947336 	 -7130.28898076975 	 3061.44214500263 	 16.7079075554593
41744.809395219905127	-27308.6136804859 	 1080906.18502164 	 6457763.06489232 	 -7119.31248567141 	 3040.32922571727 	 -532.812130375127
41744.810089664351835	-453242.999026816 	 1262302.19480386 	 6409370.7722803 	 -7072.56481708587 	 3003.58760119564 	 -1079.56693972751
41744.810784108791268	-875308.539289895 	 1441021.79999176 	 6328326.94345547 	 -6990.43094614898 	 2951.10409791482 	 -1620.72722814689
41744.811478553223424	-1291398.33388573 	 1616119.27608815 	 6215051.39457116 	 -6873.4842148056 	 2882.85301554228 	 -2153.49453987768
41744.812172997677408	-1699445.43108566 	 1786650.02386639 	 6070130.54373295 	 -6722.48248015327 	 2798.89792563196 	 -2675.11654918353
41744.812867442124116	-2097433.76758108 	 1951675.96694016 	 5894314.18508663 	 -6538.36326396034 	 2699.3928259753 	 -3182.90225871121
41744.813561886563548	-2483408.78545461 	 2110271.00118956 	 5688511.35515798 	 -6322.23787897414 	 2584.58272592189 	 -3674.23693580465
41744.814256330995704	-2855487.64945629 	 2261526.45459615 	 5453785.32032586 	 -6075.38454983011 	 2454.8036408775 	 -4146.59668374986
41744.814950775456964	-3211869.02279769 	 2404556.52902545 	 5191347.70567433 	 -5799.24053644707 	 2310.48196994228 	 -4597.56257993327
41744.815645219903672	-3550842.35649961 	 2538503.69203411 	 4902551.78116741 	 -5495.3932645493 	 2152.133230644 	 -5024.83429821942
41744.816339664343104	-3870796.61601605 	 2662543.9723872 	 4588884.9464521 	 -5165.57049837306 	 1980.36014188568 	 -5426.24308338607
41744.817034108782536	-4170228.37625112 	 2775892.11524129 	 4251960.4716476 	 -4811.6296132277 	 1795.85005926543 	 -5799.76394708017
41744.81772855323652	-4447749.24901436 	 2877806.56502045 	 3893508.53460834 	 -4435.54601505527 	 1599.37176325902 	 -6143.52699011534
41744.818422997675953	-4702092.6043958 	 2967594.24129309 	 3515366.59378995 	 -4039.40076121581 	 1391.77160637406 	 -6455.82774817116
41744.819117442115385	-4932119.52564812 	 3044615.06385207 	 3119469.17082203 	 -3625.36748259473 	 1173.96905128283 	 -6735.13642934765
41744.819811886562093	-5136823.95032195 	 3108286.1889251 	 2707837.13057315 	 -3195.69873034226 	 946.95164657857 	 -6980.10593098109
41744.820506331008801	-5315336.97999789 	 3158085.92932275 	 2282566.52042354 	 -2752.71185154095 	 711.7694795783 	 -7189.57856431734
